Invoice #,Date of Sale,Product Name,Type,Quantity,Revenue, Sale Price 
1638,1-Jul-24,Bearings,Spare,8,"3,200",400
1639,2-Jul-24,Non Em Controller,Spare,1,"34,000","34,000"
1640,2-Jul-24,30M controller knob,Spare,1,250,250
1641,4-Jul-24,Bottom seat ,Spare,1,"3,500","3,500"
1704,21-Aug-24,30M,EW,1,"236,000","236,000"
1786,8-Oct-24,30M,EW,1,"230,000","230,000"
1796,17-Oct-24,30M,EW,1,"234,000","234,000"
1652,14-Jul-24,30M (Remote),EW,1,"245,000","245,000"
1647,7-Jul-24,Caster cap 30M,Spare,1,"1,450","1,450"
1658,21-Jul-24,30M (Remote),EW,1,"245,000","245,000"
1649,9-Jul-24,Non Em Controller,Spare,1,"38,000","38,000"
1650,10-Jul-24,12 Ah Battery,Spare,1,"23,000","23,000"
1653,14-Jul-24,12 Ah Lithium Battery,Spare,1,"45,500","45,500"
1642,4-Jul-24,90B,EW,1,"134,000","134,000"
1654,15-Jul-24,20 Ah Charger ,Spare,1,"6,400","6,400"
1657,20-Jul-24,12 Ah Charger Tri,Spare,1,"6,000","6,000"
1648,9-Jul-24,90B,EW,1,"134,000","134,000"
1661,22-Jul-24,12 Ah Charger Lithium,Spare,1,"6,500","6,500"
1669,28-Jul-24,90B,EW,1,"134,000","134,000"
1719,28-Aug-24,90B,EW,1,"134,000","134,000"
1730,5-Sep-24,90B,EW,1,"133,500","133,500"
1666,27-Jul-24,12 inch Tires,Spare,2,"6,000","3,000"
1761,23-Sep-24,90B,EW,1,"131,000","131,000"
1763,25-Sep-24,90B,EW,1,"134,000","134,000"
1769,29-Sep-24,90B,EW,1,"134,000","134,000"
1670,29-Jul-24,Footrest Plastic Part,Spare,1,"1,000","1,000"
1793,10-Oct-24,90B,EW,1,"134,000","134,000"
1671,29-Jul-24,12 inch tube,Spare,2,"2,000","1,000"
1805,23-Oct-24,90B,EW,1,"134,000","134,000"
1672,29-Jul-24,16 inch Tube,Spare,1,700,700
1674,30-Jul-24,Caster 10 inch,Spare,2,"9,600","4,800"
1676,1-Aug-24,Clutch Rubber,Spare,1,300,300
1677,1-Aug-24,12 Ah Charger ,Spare,1,"6,500","6,500"
1813,24-Oct-24,90B,EW,1,"117,920","117,920"
1678,3-Aug-24,Bearings,Spare,4,"1,600",400
1685,6-Aug-24,12 Ah Charger,Spare,1,"6,100","6,100"
1685,6-Aug-24,12 Ah Charger Lithium,Spare,1,"8,400","8,400"
1643,4-Jul-24,90E,EW,1,"154,000","154,000"
1645,6-Jul-24,90E,EW,1,"154,000","154,000"
1686,7-Aug-24,EM Controller,Spare,1,"35,000","35,000"
1680,3-Aug-24,90E,EW,1,"194,000","194,000"
1687,7-Aug-24,12 Ah Charger,Spare,1,"6,500","6,500"
1692,10-Aug-24,Controller cap,Spare,1,"1,200","1,200"
1692,10-Aug-24,controller rubber,Spare,1,"1,200","1,200"
1692,10-Aug-24,Recliner  70 degree,Spare,1,"3,000","3,000"
1694,11-Aug-24,Controller E Interface,Spare,1,"35,000","35,000"
1696,13-Aug-24,12 Ah Charger Tri,Spare,1,"6,500","6,500"
1697,13-Aug-24,Footrest Hook,Spare,2,600,300
1700,15-Aug-24,Battery Connector,Spare,2,600,300
1707,22-Aug-24,90E,EW,1,"154,700","154,700"
1702,18-Aug-24,12 Ah Battery,Spare,1,"24,400","24,400"
